R,depth,width,seed,K,s2,rel
0.8,2,4,40,0.5,0.8977818842738932,0.9861758582131107
0.8,2,4,40,0.0,1.0,1.0
0.8,2,4,40,-0.5,1.1113232970947502,1.059486874767613
0.8,2,4,40,-1.0,1.2323941181210039,1.1402629650642633
0.8,2,4,40,-2.0,1.5065359277077244,1.331339043031653
0.8,2,4,40,-4.0,2.2044230860437226,1.871918500253349
0.8,2,4,40,-6.0,3.1496856357366823,2.7565256585958866
0.8,2,4,41,0.5,0.8977818842738932,0.9846826550947672
0.8,2,4,41,0.0,1.0,1.0
0.8,2,4,41,-0.5,1.1113232970947502,1.0654665396869138
0.8,2,4,41,-1.0,1.2323941181210039,1.1531278699501675
0.8,2,4,41,-2.0,1.5065359277077244,1.3886400549528404
0.8,2,4,41,-4.0,2.2044230860437226,2.0271949892178345
0.8,2,4,41,-6.0,3.1496856357366823,3.027051537227524
0.8,2,4,42,0.5,0.8977818842738932,0.9880832285396867
0.8,2,4,42,0.0,1.0,1.0
0.8,2,4,42,-0.5,1.1113232970947502,1.0801547595475374
0.8,2,4,42,-1.0,1.2323941181210039,1.173238878820276
0.8,2,4,42,-2.0,1.5065359277077244,1.392898461606231
0.8,2,4,42,-4.0,2.2044230860437226,1.98157797558634
0.8,2,4,42,-6.0,3.1496856357366823,2.8318591608158505
0.8,2,4,43,0.5,0.8977818842738932,0.9854851297332051
0.8,2,4,43,0.0,1.0,1.0
0.8,2,4,43,-0.5,1.1113232970947502,1.0241857840058934
0.8,2,4,43,-1.0,1.2323941181210039,1.0574870309215074
0.8,2,4,43,-2.0,1.5065359277077244,1.1375909171855825
0.8,2,4,43,-4.0,2.2044230860437226,1.3559549941920865
0.8,2,4,43,-6.0,3.1496856357366823,1.6578012355706844
0.8,2,4,44,0.5,0.8977818842738932,0.9875922959935769
0.8,2,4,44,0.0,1.0,1.0
0.8,2,4,44,-0.5,1.1113232970947502,1.0331893459065231
0.8,2,4,44,-1.0,1.2323941181210039,1.0700188384765563
0.8,2,4,44,-2.0,1.5065359277077244,1.165874833211205
0.8,2,4,44,-4.0,2.2044230860437226,1.3745543944794
0.8,2,4,44,-6.0,3.1496856357366823,1.6087686950920557
0.8,2,4,45,0.5,0.8977818842738932,0.9778635986887193
0.8,2,4,45,0.0,1.0,1.0
0.8,2,4,45,-0.5,1.1113232970947502,1.0322201080005933
0.8,2,4,45,-1.0,1.2323941181210039,1.0749089360293733
0.8,2,4,45,-2.0,1.5065359277077244,1.1832335176915318
0.8,2,4,45,-4.0,2.2044230860437226,1.5300314740060796
0.8,2,4,45,-6.0,3.1496856357366823,2.040972987480161
0.8,2,4,46,0.5,0.8977818842738932,0.9763364136590331
0.8,2,4,46,0.0,1.0,1.0
0.8,2,4,46,-0.5,1.1113232970947502,1.029116361577789
0.8,2,4,46,-1.0,1.2323941181210039,1.0640751772568253
0.8,2,4,46,-2.0,1.5065359277077244,1.151962427060903
0.8,2,4,46,-4.0,2.2044230860437226,1.344451183893211
0.8,2,4,46,-6.0,3.1496856357366823,1.582899053074893
0.8,2,4,47,0.5,0.8977818842738932,0.9827845319138487
0.8,2,4,47,0.0,1.0,1.0
0.8,2,4,47,-0.5,1.1113232970947502,1.0234623578290099
0.8,2,4,47,-1.0,1.2323941181210039,1.0540185094476207
